unique_id,bagging_freq,learning_rate,verbosity,n_estimators,lambda_l1,lambda_l2,num_leaves,feature_fraction,bagging_fraction,objective
M17603,1,0.05,-1,59,1.2071717147200167e-07,4.626598127080078e-06,4,0.658991589696988,0.707131497257335,l2
M17618,1,0.05,-1,59,1.2071717147200167e-07,4.626598127080078e-06,4,0.658991589696988,0.707131497257335,l2
M17869,1,0.05,-1,59,1.2071717147200167e-07,4.626598127080078e-06,4,0.658991589696988,0.707131497257335,l2
M17882,1,0.05,-1,59,1.2071717147200167e-07,4.626598127080078e-06,4,0.658991589696988,0.707131497257335,l2
M17963,1,0.05,-1,59,1.2071717147200167e-07,4.626598127080078e-06,4,0.658991589696988,0.707131497257335,l2
M18002,1,0.05,-1,59,1.2071717147200167e-07,4.626598127080078e-06,4,0.658991589696988,0.707131497257335,l2
M18281,1,0.05,-1,59,1.2071717147200167e-07,4.626598127080078e-06,4,0.658991589696988,0.707131497257335,l2
M18352,1,0.05,-1,59,1.2071717147200167e-07,4.626598127080078e-06,4,0.658991589696988,0.707131497257335,l2
M18514,1,0.05,-1,59,1.2071717147200167e-07,4.626598127080078e-06,4,0.658991589696988,0.707131497257335,l2
M18641,1,0.05,-1,59,1.2071717147200167e-07,4.626598127080078e-06,4,0.658991589696988,0.707131497257335,l2
M18687,1,0.05,-1,59,1.2071717147200167e-07,4.626598127080078e-06,4,0.658991589696988,0.707131497257335,l2
M18785,1,0.05,-1,36,9.848640172873773e-08,0.008071724032088088,4,0.5982911808400267,0.684362585330482,l1
M18980,1,0.05,-1,59,1.2071717147200167e-07,4.626598127080078e-06,4,0.658991589696988,0.707131497257335,l2
M19150,1,0.05,-1,59,1.2071717147200167e-07,4.626598127080078e-06,4,0.658991589696988,0.707131497257335,l2
M19159,1,0.05,-1,59,1.2071717147200167e-07,4.626598127080078e-06,4,0.658991589696988,0.707131497257335,l2
M19350,1,0.05,-1,36,9.848640172873773e-08,0.008071724032088088,4,0.5982911808400267,0.684362585330482,l1
M19505,1,0.05,-1,36,9.848640172873773e-08,0.008071724032088088,4,0.5982911808400267,0.684362585330482,l1
M19519,1,0.05,-1,36,9.848640172873773e-08,0.008071724032088088,4,0.5982911808400267,0.684362585330482,l1
M19697,1,0.05,-1,36,9.848640172873773e-08,0.008071724032088088,4,0.5982911808400267,0.684362585330482,l1
M19774,1,0.05,-1,59,1.2071717147200167e-07,4.626598127080078e-06,4,0.658991589696988,0.707131497257335,l2
M19935,1,0.05,-1,36,9.848640172873773e-08,0.008071724032088088,4,0.5982911808400267,0.684362585330482,l1
M19963,1,0.05,-1,59,1.2071717147200167e-07,4.626598127080078e-06,4,0.658991589696988,0.707131497257335,l2
M20107,1,0.05,-1,59,1.2071717147200167e-07,4.626598127080078e-06,4,0.658991589696988,0.707131497257335,l2
M20305,1,0.05,-1,36,9.848640172873773e-08,0.008071724032088088,4,0.5982911808400267,0.684362585330482,l1
M20356,1,0.05,-1,59,1.2071717147200167e-07,4.626598127080078e-06,4,0.658991589696988,0.707131497257335,l2
M20570,1,0.05,-1,36,9.848640172873773e-08,0.008071724032088088,4,0.5982911808400267,0.684362585330482,l1
M20710,1,0.05,-1,59,1.2071717147200167e-07,4.626598127080078e-06,4,0.658991589696988,0.707131497257335,l2
M20880,1,0.05,-1,59,1.2071717147200167e-07,4.626598127080078e-06,4,0.658991589696988,0.707131497257335,l2
M20917,1,0.05,-1,36,9.848640172873773e-08,0.008071724032088088,4,0.5982911808400267,0.684362585330482,l1
M20998,1,0.05,-1,59,1.2071717147200167e-07,4.626598127080078e-06,4,0.658991589696988,0.707131497257335,l2
M21120,1,0.05,-1,27,1.4196970345163695,1.1532198340373669e-07,38,0.6214275484821834,0.5504879668976697,l2
M21180,1,0.05,-1,23,7.420409171732639e-06,0.00026143817576057115,44,0.9435093654000903,0.8482962764413704,l2
M21356,1,0.05,-1,182,2.4462757967076694e-06,0.0005119558161158846,3,0.7879732477780896,0.964648098788107,l2
M21498,1,0.05,-1,182,2.4462757967076694e-06,0.0005119558161158846,3,0.7879732477780896,0.964648098788107,l2
M21578,1,0.05,-1,281,0.03647002062137474,0.00016304575339507152,159,0.7375410182951498,0.5527914966744751,l2
M21737,1,0.05,-1,242,6.143377158509898e-07,3.259368753887567e-07,32,0.5286119059536463,0.5541006832167965,l2
M21841,1,0.05,-1,22,0.00980785432744075,2.35627508870502e-05,3745,0.6887999683827308,0.5605342848577772,l1
M21908,1,0.05,-1,20,1.089880065110321e-08,0.050919849892502825,22,0.5009156559798373,0.5192133118075581,l2
M22037,1,0.05,-1,41,5.597524833521475e-07,0.00126184192518069,19,0.6563641671693927,0.7265226866348549,l2
M22106,1,0.05,-1,723,0.0027816503988922154,9.838327826596961,1153,0.9148098353524561,0.5058992476036646,l1
M22255,1,0.05,-1,20,6.733908146395605,1.7083415031246167e-08,30,0.5094712723917622,0.5204754226835625,l2
M22422,1,0.05,-1,36,9.848640172873773e-08,0.008071724032088088,4,0.5982911808400267,0.684362585330482,l1
M22481,1,0.05,-1,21,0.1536351369460936,1.3803965868836183e-06,9,0.6777264579649618,0.5194358172437007,l1
M22729,1,0.05,-1,38,0.682322052434068,1.1605355382435613e-06,254,0.6065625471497677,0.5462088866367981,l2
M22747,1,0.05,-1,183,3.2194272373647213e-05,0.00016057166295787738,2,0.7201277702374342,0.8988955912412256,l2
M22956,1,0.05,-1,123,1.001966873589561e-08,7.344225317171503e-08,29,0.9439728010194186,0.9266016160894683,l1
M23128,1,0.05,-1,47,3.7561342277759784,0.00010571300239371601,1215,0.8497396376587522,0.6487184754275668,l1
M23141,1,0.05,-1,117,0.11692555365626003,5.61550081116899e-05,2,0.551808445542912,0.8763781936042234,l2
M23145,1,0.05,-1,384,0.0011982172164409024,2.8581308679508752e-05,4,0.7340473764624634,0.9159084421971511,l2
M23364,1,0.05,-1,160,5.838916487884689e-05,1.2067940952258642e-07,17,0.714648581079819,0.899245649015504,l2
M23561,1,0.05,-1,33,4.836608486915032e-06,0.0013479823207365454,161,0.7871626244247893,0.8266004099285669,l1
M23634,1,0.05,-1,93,1.083562267245316e-08,1.5563408780232613e-06,33,0.6395344043306512,0.8775427926036952,l2
M23709,1,0.05,-1,937,0.01706570546276463,3.1720880386639668e-06,2,0.6710559365299564,0.9250193729772221,l2
M23887,1,0.05,-1,68,2.2730129382659032,5.388456454111387e-05,1118,0.9317269258851445,0.5776718704017507,l1
M23944,1,0.05,-1,81,3.831236138278393e-05,0.00014324879624102684,12,0.9450318120451608,0.5557635064489619,l2
M24093,1,0.05,-1,208,2.3672416165116772e-05,3.34907764664413e-08,36,0.5317630872872303,0.977679906117073,l2
M24353,1,0.05,-1,59,1.2071717147200167e-07,4.626598127080078e-06,4,0.658991589696988,0.707131497257335,l2
M24394,1,0.05,-1,302,7.351182329265025e-06,1.2998937613245126e-05,43,0.997284586088647,0.9262618955892257,l2
M24397,1,0.05,-1,59,1.2071717147200167e-07,4.626598127080078e-06,4,0.658991589696988,0.707131497257335,l2
