unique_id,size,complexity,transformations,n_transformations,final_status,nmae_AutoARIMA,nrmse_AutoARIMA,smape_AutoARIMA,nmae_naive,nrmse_naive,smape_naive,nmae_seasonal_naive,nrmse_seasonal_naive,smape_seasonal_naive,%nmae_arima_vs_snaive,%nrmse_arima_vs_snaive,%smape_arima_vs_snaive,%nmae_arima_vs_naive,%nrmse_arima_vs_naive,%smape_arima_vs_naive
M21737,324,1976.08,['difference'],1,stationary,0.01507198518170792,0.01771664651420325,0.007527270350166699,0.016364704827737327,0.019491750139012998,0.008173291612437558,0.015288996902359584,0.018273993860788276,0.0076346436842039435,1.4193980287756554,3.049948198685592,1.4063961394740554,7.8994375983996585,9.106948386624634,7.90405252747605
M21841,324,571.376,['difference'],1,stationary,0.01934886498351378,0.021210259675841246,0.009642784176811322,0.03570757550090088,0.04091197047495834,0.01763846660238891,0.00907396855219995,0.01136535107475428,0.004524068221629754,-113.2348693099969,-86.62212488055336,-113.14409298049,45.81299706829544,48.156347813108255,45.33093837360371
M21908,324,2698.425,['difference'],1,stationary,0.00513701312748549,0.006201570771879701,0.0025743369092447563,0.017015124555160143,0.019805367544024684,0.008500474616817334,0.037866992882562275,0.04175774971969381,0.01930861862088817,86.43406107419985,85.14869500030814,86.66742059703938,69.809135920033,68.68742396173947,69.71537443154422
M22037,324,523.022,['difference'],1,stationary,0.018826965930212363,0.019972912107286328,0.009274294900313495,0.02745264130602187,0.03203329544944946,0.013838461456072055,0.044682735253349766,0.04919727924109089,0.022938892079721735,57.865234025034425,59.40240514234695,59.5695604300258,31.42020208422504,37.6495242620141,32.981748514795264
M22106,324,1724.367,['difference'],1,stationary,0.01210693063245449,0.014299872825754697,0.006056337152597003,0.012361421032125527,0.01441832164911994,0.0061834932701361105,0.013122941238975666,0.01659353682843164,0.006573639025629447,7.742247625887281,13.822634839047328,7.869337987917752,2.0587471214648687,0.8215160283407349,2.0563799778552787
M22255,324,801.062,['difference'],1,stationary,0.02499721837283285,0.026203046922446124,0.012608468687031233,0.04914004914004914,0.05374293109426018,0.025066943296714588,0.05091455091455092,0.053275987538091284,0.026120308048895452,50.90358664896154,50.816403161534154,51.72924965728187,49.13066061128515,51.243733103264546,49.7008129879012
M22422,324,1204.793,['difference'],1,stationary,0.021674450423606013,0.027388001424521618,0.010886326244704259,0.01567099151268979,0.017918248120218288,0.007836900687012741,0.020612774190892438,0.024716294751828596,0.010355859577958771,-5.150574216170606,-10.809495110489246,-5.1223818047371275,-38.3093750389364,-52.849772147188936,-38.91111651759228
M22481,324,546.587,['difference'],1,stationary,0.02266839173585367,0.026485191655008334,0.011376517129977058,0.0782249598348152,0.08969976352893826,0.03825697871674378,0.0230667061068481,0.027788281925280926,0.011799250678612658,1.7267934535142728,4.689351697871904,3.5827152092111056,71.02153611363728,70.47351005951774,70.26289709334014
M22729,324,1670.65,['difference'],1,stationary,0.006359568007116255,0.007726994994140488,0.0031716608888821777,0.022677058207224023,0.03035497000930332,0.011318764376461631,0.04886641851947691,0.05248231352092004,0.025000175134297406,86.98581111570209,85.27695431898135,87.31344531850492,71.95593913018953,74.54454742741538,71.97873563409513
M22747,324,201.172,"['difference', 'detrend']",2,stationary,0.004204902308911863,0.005062898847703554,0.00210420186924346,0.0062232723763249835,0.007896011551471092,0.0031085188651025024,0.008927234304540978,0.00939826061222234,0.004488408932231642,52.89804025001368,46.12940567833046,53.11920324075176,32.43261656185174,35.88030090001206,32.30853790639373
